alt event	gene name	gene type	event type	overlaps with	overlap gene	P val up	P val down	min p val	rank up	rank down	min rank	Q val up	Q val down	min Q val
alt_region_33763	AT3G44480	mRNA	alt_3prime	None	None	1	0.905409	0.905409	11455	14303	11455	1	1	1
alt_region_33764	AT3G44480	mRNA	alt_3prime	None	None	1	0.711372	0.711372	11455	11973	11455	1	1	1
alt_region_33765	AT3G44510	mRNA	alt_3prime	None	None	0.366479	1	0.366479	5918	15386	5918	1	1	1
alt_region_33766	AT3G44600	mRNA	alt_3prime	None	None	0.052202	1	0.052202	2845	15386	2845	0.362617	1	0.362617
alt_region_33767	AT3G44680	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33768	AT3G44740	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33769	AT3G44740	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_3377	AT2G31585	ncRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33770	AT3G44740	mRNA	alt_3prime	None	None	1	0.506198	0.506198	11455	9611	9611	1	1	1
alt_region_33771	AT3G44740	mRNA	alt_3prime	None	None	1	0.674757	0.674757	11455	11554	11455	1	1	1
alt_region_33772	AT3G44740	mRNA	alt_3prime	None	None	1	0.510746	0.510746	11455	9651	9651	1	1	1
alt_region_33773	AT3G44740	mRNA	alt_3prime	None	None	1	0.679862	0.679862	11455	11616	11455	1	1	1
alt_region_33774	AT3G44740	mRNA	alt_3prime	None	None	1	0.510746	0.510746	11455	9651	9651	1	1	1
alt_region_33775	AT3G44740	mRNA	alt_3prime	None	None	1	0.679862	0.679862	11455	11616	11455	1	1	1
alt_region_33776	AT3G44740	mRNA	alt_3prime	None	None	1	0.679862	0.679862	11455	11616	11455	1	1	1
alt_region_33777	AT3G44740	mRNA	alt_3prime	None	None	1	0.13995	0.13995	11455	4851	4851	1	0.661536	0.661536
alt_region_33778	AT3G44740	mRNA	alt_3prime	None	None	1	0.216385	0.216385	11455	5971	5971	1	0.843483	0.843483
alt_region_33779	AT3G44740	mRNA	alt_3prime	None	None	1	0.183878	0.183878	11455	5492	5492	1	0.77557	0.77557
alt_region_3378	AT2G31750	mRNA	intron_ret	None	None	0.747867	1	0.747867	9119	15386	9119	1	1	1
alt_region_33780	AT3G44740	mRNA	alt_3prime	None	None	1	0.185949	0.185949	11455	5528	5528	1	0.779235	0.779235
alt_region_33781	AT3G44740	mRNA	alt_3prime	None	None	1	0.195089	0.195089	11455	5674	5674	1	0.798662	0.798662
alt_region_33782	AT3G44740	mRNA	alt_3prime	None	None	1	0.285465	0.285465	11455	6896	6896	1	0.973072	0.973072
alt_region_33783	AT3G44740	mRNA	alt_3prime	None	None	1	0.288256	0.288256	11455	6923	6923	1	0.978922	0.978922
alt_region_33784	AT3G44740	mRNA	alt_3prime	None	None	1	0.193409	0.193409	11455	5645	5645	1	0.795802	0.795802
alt_region_33785	AT3G45090	mRNA	alt_3prime	None	None	1	0.909385	0.909385	11455	14350	11455	1	1	1
alt_region_33786	AT3G45090	mRNA	alt_3prime	None	None	1	0.856667	0.856667	11455	13698	11455	1	1	1
alt_region_33787	AT3G45130	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33788	AT3G45130	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33789	AT3G45130	mRNA	alt_3prime	None	None	0.47682	1	0.47682	6828	15386	6828	1	1	1
alt_region_3379	AT2G31880	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33790	AT3G45300	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
